Cliente: QUALA S.A;Detalle de Orden: 11

Actividades;

Item;Detalle;Actividad;Valor Unidad;Cantidad;Subtotal
"d9e4a2-Locativas";"Locativas";"Servicio de limpieza de polvo y telarañas en cubierta área interna de bodega, limpieza general de estructura metálica y retiro de telarañas de cerchas, vigas y estructuras, incluye: andamios tubulares con ruedas,, insumos de limpieza, plástico para cubrir equipos y productos en bodegas, equipos de alturas, coordinador para trabajo seguro en alturas.   Áreas: bodega logística, POP, rejas de muelles.";"1050";"2186 mts2";"2295300"

Repuestos;

Item;Detalle;;Valor Unidad;Cantidad;Subtotal

Otros Costos;

Tipo de costo;Detalle;Documento/Factura;Valor Unidad;Cantidad;Subtotal
